name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Cacajao_rubicundus	NA	NA	NA	70927	NA	NA	NA	30595	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Macaca_pagensis	NA	NA	NA	230653	NA	NA	NA	9539	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Cebus_albifrons	NA	NA	NA	9514	NA	NA	NA	9513	NA	NA	38070	9498	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Pithecia_irrorata	NA	NA	NA	30598	NA	NA	NA	30597	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Cheirogaleus_sibreei	NA	NA	NA	752538	NA	NA	NA	9459	NA	NA	NA	30615	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Eulemur_rufus	NA	NA	NA	859983	NA	NA	NA	13513	NA	NA	NA	9445	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Chiropotes_satanas	NA	NA	NA	9525	NA	NA	NA	9524	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Callicebus_moloch	NA	NA	NA	9523	NA	NA	NA	9522	NA	NA	38069	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Daubentonia_madagascariensis	NA	NA	NA	31869	NA	NA	NA	13038	NA	NA	NA	30613	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Microcebus_jollyae	NA	NA	NA	236275	NA	NA	NA	13149	NA	NA	NA	30615	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Presbytis_melalophos	NA	NA	NA	78451	NA	NA	NA	9573	NA	NA	9569	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Presbytis_comata	NA	NA	NA	78452	NA	NA	NA	9573	NA	NA	9569	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Macaca_cyclopis	NA	NA	NA	78449	NA	NA	NA	9539	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Lophocebus_albigena	NA	NA	NA	75567	NA	NA	NA	75565	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Macaca_maura	NA	NA	NA	90383	NA	NA	NA	9539	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Papio_cynocephalus	NA	NA	NA	9556	NA	NA	NA	9554	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Macaca_nigrescens	NA	NA	NA	90384	NA	NA	NA	9539	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Brachyteles_hypoxanthus	NA	NA	NA	342807	NA	NA	NA	30593	NA	NA	38068	378855	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phaner_furcifer	NA	NA	NA	261734	NA	NA	NA	261733	NA	NA	NA	30615	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Galagoides_demidoff	NA	NA	NA	89672	NA	NA	NA	89671	NA	NA	NA	40297	NA	NA	376917	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Lagothrix_cana	NA	NA	NA	767357	NA	NA	NA	9518	NA	NA	38068	378855	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Leontopithecus_chrysomelas	NA	NA	NA	57374	NA	NA	NA	30587	NA	NA	9480	9498	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Lophocebus_aterrimus	NA	NA	NA	75566	NA	NA	NA	75565	NA	NA	9528	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
